 " time ",  " sensor ", value , 
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 0
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 0
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 0
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 0
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 0
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 0
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 0
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 0
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 0
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 0
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 0
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 0
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 0
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 0
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 0
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 0
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 0
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 0
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 0
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 0
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", -1
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", -1
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", -1
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 0
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 0
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 0
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 0
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 0
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 0
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 0
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 0
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 0
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 0
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 0
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 0
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 0
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 0
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 0
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 0
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 0
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 1
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 1
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 2
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 3
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 2
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 2
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 1
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 0
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 0
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 0
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 0
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 0
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", -1
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", -1
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", -1
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", -1
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", -1
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 0
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 0
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 0
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 1
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 1
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 1
 " Sun Jan 15 2017 17:22:23 GMT+0800 (CST) ",  " W024 ", 1
